UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:09 ?        00:00:09 /sbin/init
root           2       0  0 16:09 ?        00:00:00 [kthreadd]
root           3       2  0 16:09 ?        00:00:00 [rcu_gp]
root           4       2  0 16:09 ?        00:00:00 [rcu_par_gp]
root           6       2  0 16:09 ?        00:00:00 [kworker/0:0H]
root           8       2  0 16:09 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 16:09 ?        00:00:00 [ksoftirqd/0]
root          10       2  0 16:09 ?        00:00:01 [rcu_sched]
root          11       2  0 16:09 ?        00:00:00 [migration/0]
root          12       2  0 16:09 ?        00:00:00 [idle_inject/0]
root          13       2  0 16:09 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root          14       2  0 16:09 ?        00:00:00 [cpuhp/0]
root          15       2  0 16:09 ?        00:00:00 [cpuhp/1]
root          16       2  0 16:09 ?        00:00:00 [idle_inject/1]
root          17       2  0 16:09 ?        00:00:00 [migration/1]
root          18       2  0 16:09 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 16:09 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 16:09 ?        00:00:00 [cpuhp/2]
root          22       2  0 16:09 ?        00:00:00 [idle_inject/2]
root          23       2  0 16:09 ?        00:00:00 [migration/2]
root          24       2  0 16:09 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 16:09 ?        00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 16:09 ?        00:00:00 [cpuhp/3]
root          28       2  0 16:09 ?        00:00:00 [idle_inject/3]
root          29       2  0 16:09 ?        00:00:00 [migration/3]
root          30       2  0 16:09 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 16:09 ?        00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 16:09 ?        00:00:00 [cpuhp/4]
root          34       2  0 16:09 ?        00:00:00 [idle_inject/4]
root          35       2  0 16:09 ?        00:00:00 [migration/4]
root          36       2  0 16:09 ?        00:00:00 [ksoftirqd/4]
root          38       2  0 16:09 ?        00:00:00 [kworker/4:0H-kblockd]
root          39       2  0 16:09 ?        00:00:00 [cpuhp/5]
root          40       2  0 16:09 ?        00:00:00 [idle_inject/5]
root          41       2  0 16:09 ?        00:00:00 [migration/5]
root          42       2  0 16:09 ?        00:00:00 [ksoftirqd/5]
root          44       2  0 16:09 ?        00:00:00 [kworker/5:0H-kblockd]
root          45       2  0 16:09 ?        00:00:00 [cpuhp/6]
root          46       2  0 16:09 ?        00:00:00 [idle_inject/6]
root          47       2  0 16:09 ?        00:00:00 [migration/6]
root          48       2  0 16:09 ?        00:00:00 [ksoftirqd/6]
root          50       2  0 16:09 ?        00:00:00 [kworker/6:0H-kblockd]
root          51       2  0 16:09 ?        00:00:00 [cpuhp/7]
root          52       2  0 16:09 ?        00:00:00 [idle_inject/7]
root          53       2  0 16:09 ?        00:00:00 [migration/7]
root          54       2  0 16:09 ?        00:00:00 [ksoftirqd/7]
root          56       2  0 16:09 ?        00:00:00 [kworker/7:0H-kblockd]
root          57       2  0 16:09 ?        00:00:00 [kdevtmpfs]
root          58       2  0 16:09 ?        00:00:00 [netns]
root          59       2  0 16:09 ?        00:00:00 [rcu_tasks_kthre]
root          60       2  0 16:09 ?        00:00:00 [kauditd]
root          61       2  0 16:09 ?        00:00:00 [khungtaskd]
root          62       2  0 16:09 ?        00:00:00 [oom_reaper]
root          63       2  0 16:09 ?        00:00:00 [writeback]
root          64       2  0 16:09 ?        00:00:00 [kcompactd0]
root          65       2  0 16:09 ?        00:00:00 [ksmd]
root          66       2  0 16:09 ?        00:00:00 [khugepaged]
root         114       2  0 16:09 ?        00:00:00 [kintegrityd]
root         115       2  0 16:09 ?        00:00:00 [kblockd]
root         116       2  0 16:09 ?        00:00:00 [blkcg_punt_bio]
root         117       2  0 16:09 ?        00:00:00 [tpm_dev_wq]
root         118       2  0 16:09 ?        00:00:00 [ata_sff]
root         119       2  0 16:09 ?        00:00:00 [md]
root         120       2  0 16:09 ?        00:00:00 [edac-poller]
root         121       2  0 16:09 ?        00:00:00 [devfreq_wq]
root         123       2  0 16:09 ?        00:00:00 [watchdogd]
root         126       2  0 16:09 ?        00:00:00 [kswapd0]
root         127       2  0 16:09 ?        00:00:00 [ecryptfs-kthrea]
root         129       2  0 16:09 ?        00:00:00 [kthrotld]
root         130       2  0 16:09 ?        00:00:00 [irq/41-ACPI:Ged]
root         131       2  0 16:09 ?        00:00:00 [acpi_thermal_pm]
root         133       2  0 16:09 ?        00:00:00 [ipv6_addrconf]
root         142       2  0 16:09 ?        00:00:00 [kstrp]
root         145       2  0 16:09 ?        00:00:00 [kworker/2:1-events]
root         146       2  0 16:09 ?        00:00:00 [kworker/u17:0]
root         152       2  0 16:09 ?        00:00:00 [kworker/3:1-events]
root         154       2  0 16:09 ?        00:00:00 [cryptd]
root         194       2  0 16:09 ?        00:00:00 [charger_manager]
root         248       2  0 16:09 ?        00:00:00 [nvme-wq]
root         249       2  0 16:09 ?        00:00:00 [nvme-reset-wq]
root         250       2  0 16:09 ?        00:00:00 [nvme-delete-wq]
root         271       2  0 16:09 ?        00:00:00 [kworker/7:2-events]
root         281       2  0 16:09 ?        00:00:00 [ttm_swap]
root         288       2  0 16:09 ?        00:00:00 [kdmflush]
root         314       2  0 16:09 ?        00:00:00 [raid5wq]
root         357       2  0 16:09 ?        00:00:00 [kworker/2:1H-kblockd]
root         360       2  0 16:09 ?        00:00:00 [jbd2/dm-0-8]
root         361       2  0 16:09 ?        00:00:00 [ext4-rsv-conver]
root         397       2  0 16:09 ?        00:00:00 [kworker/0:2-events]
root         423       2  0 16:09 ?        00:00:00 [kworker/4:1H-kblockd]
root         440       1  0 16:09 ?        00:00:00 /lib/systemd/systemd-journald
root         458       2  0 16:09 ?        00:00:00 [kworker/5:1H-kblockd]
root         466       2  0 16:09 ?        00:00:00 [kworker/1:1H-kblockd]
root         470       2  0 16:09 ?        00:00:00 [kworker/6:1H-kblockd]
root         480       1  0 16:09 ?        00:00:01 /lib/systemd/systemd-udevd
root         560       2  0 16:09 ?        00:00:00 [scsi_eh_0]
root         562       2  0 16:09 ?        00:00:00 [scsi_tmf_0]
root         563       2  0 16:09 ?        00:00:01 [usb-storage]
root         568       2  0 16:09 ?        00:00:00 [kworker/4:2-events]
root         569       2  0 16:09 ?        00:00:00 [uas]
root         624       2  0 16:09 ?        00:00:00 [kworker/5:2-events]
root         639       2  0 16:09 ?        00:00:00 [kaluad]
root         640       2  0 16:09 ?        00:00:00 [kmpath_rdacd]
root         641       2  0 16:09 ?        00:00:00 [kmpathd]
root         642       2  0 16:09 ?        00:00:00 [kmpath_handlerd]
root         643       1  0 16:09 ?        00:00:01 /sbin/multipathd -d -s
root         652       2  0 16:09 ?        00:00:00 [loop0]
root         658       2  0 16:09 ?        00:00:00 [loop1]
root         665       2  0 16:09 ?        00:00:00 [loop2]
root         666       2  0 16:09 ?        00:00:00 [kworker/7:1H-kblockd]
root         668       2  0 16:09 ?        00:00:00 [loop3]
root         670       2  0 16:09 ?        00:00:00 [loop4]
root         671       2  0 16:09 ?        00:00:00 [jbd2/nvme0n1p2-]
root         672       2  0 16:09 ?        00:00:00 [kworker/0:1H-kblockd]
root         673       2  0 16:09 ?        00:00:00 [kworker/3:1H-kblockd]
root         674       2  0 16:09 ?        00:00:00 [ext4-rsv-conver]
root         678       2  0 16:09 ?        00:00:00 [loop5]
systemd+     708       1  0 16:09 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     759       1  0 16:09 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     761       1  0 16:09 ?        00:00:00 /lib/systemd/systemd-resolved
root         797       1  0 16:10 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
avahi        799       1  0 16:10 ?        00:00:00 avahi-daemon: running [cy2550.local]
root         800       1  0 16:10 ?        00:00:00 /usr/sbin/cupsd -l
message+     801       1  0 16:10 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         802       1  0 16:10 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         809       1  0 16:10 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         810       1  0 16:10 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         812       1  0 16:10 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
root         817       1  0 16:10 ?        00:00:02 /usr/lib/snapd/snapd
root         819       1  0 16:10 ?        00:00:00 /usr/libexec/switcheroo-control
root         821       1  0 16:10 ?        00:00:01 /lib/systemd/systemd-logind
root         822       1  0 16:10 ?        00:00:00 /usr/lib/udisks2/udisksd
root         823       1  0 16:10 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        827     799  0 16:10 ?        00:00:00 avahi-daemon: chroot helper
root         853       1  0 16:10 ?        00:00:00 /usr/sbin/ModemManager
